Model,min,max,median,mean,sd,Model,min,max,median,mean,sd
knn,0.655981875726331,0.655981875726331,0.655981875726331,NA,0,LogitBoost,0.678537054860443,0.678537054860443,0.678537054860443,NA,0
rpart2,0.657646770351688,0.657646770351688,0.657646770351688,NA,0,bstTree,0.680078508341511,0.680078508341511,0.680078508341511,NA,0
rocc,0.65808359913953,0.65808359913953,0.65808359913953,NA,0,stepQDA,0.680320569902048,0.680320569902048,0.680320569902048,NA,0
xyf,0.659766470830197,0.659766470830197,0.659766470830197,NA,0,rfRules,0.680954700438383,0.680954700438383,0.680954700438383,NA,0
lvq,0.66040785797295,0.66040785797295,0.66040785797295,NA,0,rpart,0.681488641855969,0.681488641855969,0.681488641855969,NA,0
LogitBoost,0.660435674900477,0.660435674900477,0.660435674900477,NA,0,rpartScore,0.681488641855969,0.681488641855969,0.681488641855969,NA,0
BstLm,0.66115376373332,0.66115376373332,0.66115376373332,NA,0,slda,0.681589767016903,0.681589767016903,0.681589767016903,NA,0
hdda,0.661389692489017,0.661389692489017,0.661389692489017,NA,0,stepLDA,0.682815356489945,0.682815356489945,0.682815356489945,NA,0
ctree2,0.664562882740318,0.664562882740318,0.664562882740318,NA,0,knn,0.683864915572233,0.683864915572233,0.683864915572233,NA,0
rpart,0.665243367208169,0.665243367208169,0.665243367208169,NA,0,dnn,0.683971981870622,0.683971981870622,0.683971981870622,NA,0
rpartScore,0.665243367208169,0.665243367208169,0.665243367208169,NA,0,BstLm,0.684684684684685,0.684684684684685,0.684684684684685,NA,0
Mlda,0.666395194059129,0.666395194059129,0.666395194059129,NA,0,hda,0.687127805771874,0.687127805771874,0.687127805771874,NA,0
rfRules,0.667692287087176,0.667692287087176,0.667692287087176,NA,0,gamboost,0.688038277511962,0.688038277511962,0.688038277511962,NA,0
gamboost,0.668254292048892,0.668254292048892,0.668254292048892,NA,0,xyf,0.689530685920578,0.689530685920578,0.689530685920578,NA,0
LMT,0.668368650528728,0.668368650528728,0.668368650528728,NA,0,sdwd,0.689779378658262,0.689779378658262,0.689779378658262,NA,0
bstTree,0.669607018931995,0.669607018931995,0.669607018931995,NA,0,treebag,0.690024330900243,0.690024330900243,0.690024330900243,NA,0
blackboost,0.67013760106817,0.67013760106817,0.67013760106817,NA,0,hdda,0.690042075736325,0.690042075736325,0.690042075736325,NA,0
ownn,0.674470345094742,0.674470345094742,0.674470345094742,NA,0,rpartCost,0.693877551020408,0.693877551020408,0.693877551020408,NA,0
treebag,0.676787392132137,0.676787392132137,0.676787392132137,NA,0,RRF,0.695438940657185,0.695438940657185,0.695438940657185,NA,0
pda2,0.677040835249611,0.677040835249611,0.677040835249611,NA,0,ownn,0.696437054631829,0.696437054631829,0.696437054631829,NA,0
gaussprRadial,0.677363305557616,0.677363305557616,0.677363305557616,NA,0,RRFglobal,0.696463654223969,0.696463654223969,0.696463654223969,NA,0
RRF,0.685334400679145,0.685334400679145,0.685334400679145,NA,0,gaussprRadial,0.700142112742776,0.700142112742776,0.700142112742776,NA,0
kernelpls,0.686382171616019,0.686382171616019,0.686382171616019,NA,0,Mlda,0.701513067400275,0.701513067400275,0.701513067400275,NA,0
simpls,0.686382171616019,0.686382171616019,0.686382171616019,NA,0,parRF,0.70326409495549,0.70326409495549,0.70326409495549,NA,0
widekernelpls,0.686382171616019,0.686382171616019,0.686382171616019,NA,0,cforest,0.704071499503476,0.704071499503476,0.704071499503476,NA,0
RRFglobal,0.686936964781709,0.686936964781709,0.686936964781709,NA,0,rf,0.706921944035346,0.706921944035346,0.706921944035346,NA,0
rFerns,0.687776108762126,0.687776108762126,0.687776108762126,NA,0,C5.0Cost,0.7084361124815,0.7084361124815,0.7084361124815,NA,0
svmRadialWeights,0.690263663262699,0.690263663262699,0.690263663262699,NA,0,wsrf,0.708994708994709,0.708994708994709,0.708994708994709,NA,0
glmboost,0.691477820636451,0.691477820636451,0.691477820636451,NA,0,C5.0,0.710110206037374,0.710110206037374,0.710110206037374,NA,0
C5.0,0.692216514600796,0.692216514600796,0.692216514600796,NA,0,ranger,0.710152035311427,0.710152035311427,0.710152035311427,NA,0
svmRadialCost,0.692282451021602,0.692282451021602,0.692282451021602,NA,0,pda2,0.711274060494959,0.711274060494959,0.711274060494959,NA,0
wsrf,0.692424626428966,0.692424626428966,0.692424626428966,NA,0,svmRadialCost,0.712927756653992,0.712927756653992,0.712927756653992,NA,0
