fg,fga,fg_percent,x3p,x3pa,x3p_percent,x2p,x2pa,x2p_percent,e_fg_percent,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,playoffs
213.1,551,0.378,0,0,0,213.1,551,0.378,0.378,176.5,240.6,0,0,332.8,160.6,0,0,0,173.4,602.7,TRUE
136.2307692,385.4615385,0.319076923,0,0,0,136.2307692,385.4615385,0.319076923,0.319076923,123.7692308,168.7692308,0,0,234.8461538,107.9230769,0,0,0,134.6923077,396.2307692,TRUE
184.1818182,501.1818182,0.362909091,0,0,0,184.1818182,501.1818182,0.362909091,0.362909091,129.2727273,178.6363636,0,0,267.0909091,117.2727273,0,0,0,144.1818182,497.6363636,TRUE
83.7,252.8,0.3032,0,0,0,83.7,252.8,0.3032,0.3032,74.25,108.85,0,0,154.95,61.45,0,0,0,92.45,241.65,FALSE
191.4545455,521.1818182,0.333181818,0,0,0,191.4545455,521.1818182,0.333181818,0.333181818,130.5454545,174.6363636,0,0,301.1818182,126.2727273,0,0,0,160.1818182,513.4545455,TRUE
183.8181818,480.1818182,0.384636364,0,0,0,183.8181818,480.1818182,0.384636364,0.384636364,142.2727273,198.6363636,0,0,303.6363636,142.4545455,0,0,0,160.9090909,509.9090909,TRUE
169.9166667,447.25,0.379166667,0,0,0,169.9166667,447.25,0.379166667,0.379166667,136.1666667,178.5833333,0,0,268.8333333,132.75,0,0,0,150.5,476,TRUE
167.8333333,430.9166667,0.344083333,0,0,0,167.8333333,430.9166667,0.344083333,0.344083333,138.4166667,179.25,0,0,262.9166667,132.5833333,0,0,0,150.4166667,474.0833333,TRUE
172.1818182,473.3636364,0.349,0,0,0,172.1818182,473.3636364,0.349,0.349,175.7272727,235.3636364,0,0,288.0909091,124.8181818,0,0,0,179.0909091,520.0909091,TRUE
103.7,279.05,0.35685,0,0,0,103.7,279.05,0.35685,0.35685,86.95,126.75,0,0,163,75.5,0,0,0,106.4,294.35,TRUE
181.4166667,462.9166667,0.348166667,0,0,0,181.4166667,462.9166667,0.348166667,0.348166667,158.6666667,218.0833333,0,0,289.8333333,138.8333333,0,0,0,159.25,521.5,TRUE
117.25,326.875,0.3380625,0,0,0,117.25,326.875,0.3380625,0.3380625,114.9375,155.6875,0,0,195,89.875,0,0,0,132.4375,349.4375,TRUE
140.6923077,400.3076923,0.302538462,0,0,0,140.6923077,400.3076923,0.302538462,0.302538462,125.9230769,175.1538462,0,0,229.4615385,98.61538462,0,0,0,135.9230769,407.3076923,TRUE
93.3,264.9,0.3096,0,0,0,93.3,264.9,0.3096,0.3096,81.75,119.5,0,0,157.7,71.1,0,0,0,105.45,268.35,FALSE
216.6,555.9,0.3734,0,0,0,216.6,555.9,0.3734,0.3734,164.1,222.1,0,0,324.2,135.1,0,0,0,191.7,597.3,TRUE
147.0714286,381.2857143,0.336142857,0,0,0,147.0714286,381.2857143,0.336142857,0.336142857,133.3571429,189.4285714,0,0,252.9285714,112.5,0,0,0,146.6428571,427.5,TRUE
116.7058824,325.4705882,0.34,0,0,0,116.7058824,325.4705882,0.34,0.34,91.58823529,134.8823529,0,0,192.9411765,88.47058824,0,0,0,108.8823529,325,FALSE
201.9,543.2,0.3576,0,0,0,201.9,543.2,0.3576,0.3576,200.4,274.5,0,0,343.6,152,0,0,0,221,604.2,TRUE
161.8333333,442.4166667,0.348083333,0,0,0,161.8333333,442.4166667,0.348083333,0.348083333,183.0833333,245.8333333,0,0,265.3333333,121.5833333,0,0,0,177.6666667,506.75,TRUE
107.1578947,291.5263158,0.298473684,0,0,0,107.1578947,291.5263158,0.298473684,0.298473684,82.42105263,121.6842105,0,0,181.9473684,72.89473684,0,0,0,93.68421053,296.7368421,FALSE
202.9090909,507.2727273,0.375090909,0,0,0,202.9090909,507.2727273,0.375090909,0.375090909,168.2727273,231.8181818,0,0,325.2727273,161.0909091,0,0,0,179,574.0909091,TRUE
139.4285714,369.7857143,0.343714286,0,0,0,139.4285714,369.7857143,0.343714286,0.343714286,120.6428571,165.3571429,0,0,246.8571429,105.2857143,0,0,0,119.2142857,399.5,TRUE
97.61111111,282.6111111,0.328222222,0,0,0,97.61111111,282.6111111,0.328222222,0.328222222,84.66666667,122.3333333,0,0,168.4444444,72.11111111,0,0,0,98.38888889,279.8888889,FALSE
198.5454545,527.5454545,0.334818182,0,0,0,198.5454545,527.5454545,0.334818182,0.334818182,137.4545455,187.9090909,0,0,322.8181818,120.2727273,0,0,0,174.3636364,534.5454545,TRUE
148.7692308,398.2307692,0.350076923,0,0,0,148.7692308,398.2307692,0.350076923,0.350076923,140,194.2307692,0,0,261.0769231,113,0,0,0,140.6923077,437.5384615,TRUE
168.5833333,452.5833333,0.289916667,0,0,0,168.5833333,452.5833333,0.289916667,0.289916667,132.1666667,189.3333333,0,0,276.0833333,122.3333333,0,0,0,145.0833333,469.3333333,FALSE
182.7272727,495.5454545,0.41,0,0,0,182.7272727,495.5454545,0.41,0.41,156.5454545,228.9090909,0,0,299.5454545,132.1818182,0,0,0,173.0909091,522,TRUE
146.7142857,398.5,0.343071429,0,0,0,146.7142857,398.5,0.343071429,0.343071429,136.0714286,189.2857143,0,0,242.2857143,109.9285714,0,0,0,132.2857143,429.5,TRUE
31.18181818,88.18181818,0.342272727,0,0,0,31.18181818,88.18181818,0.342272727,0.342272727,25.72727273,36.27272727,0,0,41.45454545,23,0,0,0,24.27272727,88.09090909,FALSE
217,544.4166667,0.340083333,0,0,0,217,544.4166667,0.340083333,0.340083333,174.75,225.3333333,0,0,331.1666667,158.75,0,0,0,154.9166667,608.75,TRUE
194.4166667,498.3333333,0.376333333,0,0,0,194.4166667,498.3333333,0.376333333,0.376333333,165.5,225.8333333,0,0,295.3333333,144.75,0,0,0,146.0833333,554.3333333,TRUE
128.6470588,355.3529412,0.279352941,0,0,0,128.6470588,355.3529412,0.279352941,0.279352941,112.7647059,157.1764706,0,0,219.2352941,90.82352941,0,0,0,112,370.0588235,FALSE
208.8333333,538.75,0.372166667,0,0,0,208.8333333,538.75,0.372166667,0.372166667,156.0833333,209.75,0,0,306.25,122.3333333,0,0,0,161.25,573.75,TRUE
149.5,384.5625,0.3344375,0,0,0,149.5,384.5625,0.3344375,0.3344375,117.875,162,0,0,246.1875,108.9375,0,0,0,98.9375,416.875,TRUE
159.4666667,421.3333333,0.328533333,0,0,0,159.4666667,421.3333333,0.328533333,0.328533333,128.6,175.0666667,0,0,260.4,116.3333333,0,0,0,114.6,447.5333333,FALSE
218.0909091,547.2727273,0.385727273,0,0,0,218.0909091,547.2727273,0.385727273,0.385727273,157.9090909,220,0,0,354.9090909,154.0909091,0,0,0,169.5454545,594.0909091,TRUE
181.5384615,487.9230769,0.363384615,0,0,0,181.5384615,487.9230769,0.363384615,0.363384615,141.3076923,188.4615385,0,0,281.9230769,136.7692308,0,0,0,127.5384615,504.3846154,TRUE
274.5,691.3,0.3927,0,0,0,274.5,691.3,0.3927,0.3927,214.2,278.5,0,0,414.2,183.4,0,0,0,187.4,763.2,TRUE
159.7333333,411.7333333,0.371533333,0,0,0,159.7333333,411.7333333,0.371533333,0.371533333,133.4666667,181.9333333,0,0,241.8666667,116.8,0,0,0,119.2666667,452.9333333,TRUE
195.4615385,503.3076923,0.369692308,0,0,0,195.4615385,503.3076923,0.369692308,0.369692308,158.9230769,202.0769231,0,0,291.2307692,129.9230769,0,0,0,152.1538462,549.8461538,TRUE
