fg,fga,fg_percent,x3p,x3pa,x3p_percent,x2p,x2pa,x2p_percent,e_fg_percent,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,teamChemistry,playoffs
73.38666667,221.4533333,0.2228,0,0,0,65.94666667,207.9866667,0.1925,0.17024,62.80666667,91.90666667,0,0,127.75,50.37333333,0,0,0,77.37666667,254.7233333,288,FALSE
132.41,330.89,0.261765,0,0,0,121.54,338.47,0.227395,0.19676,112.37,162.33,0,0,202.795,87.67,0,0,0,118.83,429.69,262,TRUE
78.14615385,217.5076923,0.225907692,0,0,0,75.13846154,223.9923077,0.200884615,0.176584615,70.01538462,107.1615385,0,0,152.6538462,52.34615385,0,0,0,93.29615385,279.4192308,312,TRUE
102.0363636,284.8818182,0.243436364,0,0,0,96.56363636,280.9272727,0.212131818,0.184972727,74.4,112.9272727,0,0,162.8227273,57.99090909,0,0,0,98.78636364,351.1090909,204,TRUE
51.21,142.96,0.236405,0,0,0,51.39,160.04,0.21491,0.188695,46.375,74.82,0,0,106.255,32.185,0,0,0,67.4425,174.8675,454,FALSE
113.2181818,285.9,0.2285,0,0,0,110.3818182,313.2909091,0.197709091,0.174636364,77.15454545,115.0227273,0,0,191.6090909,63.10909091,0,0,0,110.9181818,362.3545455,326,TRUE
103.5454545,277.6,0.25965,0,0,0,96.16363636,269.6090909,0.226640909,0.198409091,81.21818182,125.5454545,0,0,186.4136364,77.51818182,0,0,0,109.8954545,360.5681818,360,TRUE
97.61666667,255.5166667,0.281,0,0,0,92.98333333,261.8833333,0.252533333,0.226341667,78.51666667,113.0375,0,0,165.9708333,73.53333333,0,0,0,106.1791667,338.7291667,236,TRUE
101.6416667,256.5333333,0.233825,0,0,0,93.65,259.9833333,0.206608333,0.184575,83.2,116.35,0,0,164.3166667,72.40833333,0,0,0,102.5833333,337.5125,338,TRUE
107.0909091,277.8,0.2488,0,0,0,101.0363636,294.5,0.217395455,0.1914,107.1090909,154.6818182,0,0,184.6181818,68.37272727,0,0,0,125.1318182,369.9318182,302,TRUE
67.17,167.845,0.2786775,0,0,0,63.99,182.93,0.254225,0.23165,56.475,87.75,0,0,112.6775,41.86,0,0,0,77.9425,214.125,464,TRUE
111.1583333,278.5666667,0.249483333,0,0,0,102.4166667,284.9416667,0.221145833,0.197033333,101.025,146.3708333,0,0,176.5666667,78.21666667,0,0,0,109.0208333,371.6208333,316,TRUE
67.84375,188.51875,0.241671875,0,0,0,65.1,192.50625,0.21646875,0.20076875,69.85625,103.984375,0,0,130.46875,46.70625,0,0,0,94.734375,250.471875,418,TRUE
81.45384615,234.5692308,0.228296154,0,0,0,77.4,237.2615385,0.20595,0.182376923,77.66923077,116.5346154,0,0,145.5115385,51.36923077,0,0,0,96.13076923,292.8576923,216,TRUE
59.53,150.56,0.22792,0,0,0,57.84,168.825,0.20272,0.17835,49.08,79.4375,0,0,105.225,36.83,0,0,0,74.8075,194.115,438,FALSE
126.7,309.51,0.251775,0,0,0,121.66,328.25,0.21801,0.19069,97.61,144.995,0,0,208.375,67.56,0,0,0,131.375,421.83,320,TRUE
85.12857143,228.2214286,0.233478571,0,0,0,77.91428571,221.2357143,0.204875,0.185407143,77.15714286,120.7535714,0,0,157.0464286,61.94285714,0,0,0,100.5,303.0071429,464,TRUE
74.81764706,194.1294118,0.230914706,0,0,0,72.41176471,208.5588235,0.201738235,0.183782353,59.27058824,94.80882353,0,0,127.9647059,52.01764706,0,0,0,77.80294118,235.8470588,356,FALSE
123.77,327.79,0.23727,0,0,0,112.48,327.07,0.206975,0.18248,122.07,178.205,0,0,212.035,83.36,0,0,0,150.275,431.135,332,TRUE
