Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Win%,Votes
0.7142857142857143,0.9024390243902439,0.04878048780487805,0.3471264367816092,0.21568627450980396,0.2323232323232323,0.5,0.0,0.0,0.0,0.21782178217821785,0.234375,0.5,0.3333333333333333,0.0909090909090909,0.09803921568627452,0.7,0.2222222222222222,0.2604166666666667,0.2589928057553957,0.04716981132075472,0.06666666666666667,0.04,0.22727272727272727,0.45999999999999996,0.18085106382978722,0.301123595505618,0.0
0.7428571428571429,0.43902439024390244,0.08536585365853659,0.3310344827586207,0.22549019607843138,0.27272727272727276,0.4,0.0,0.012658227848101266,0.5,0.2277227722772277,0.28125000000000006,0.4,0.26666666666666666,0.14285714285714288,0.13725490196078433,0.8,0.20370370370370372,0.14583333333333334,0.1726618705035971,0.0849056603773585,0.06666666666666667,0.04,0.20454545454545453,0.22000000000000003,0.20567375886524822,0.49325842696629213,0.0
0.6857142857142857,0.9146341463414634,0.6097560975609756,0.4298850574712644,0.27450980392156865,0.297979797979798,0.5,0.0,0.0,0.0,0.2772277227722772,0.3072916666666667,0.5,0.3333333333333333,0.15584415584415584,0.25490196078431376,0.5,0.25925925925925924,0.3125,0.3165467625899281,0.04716981132075472,0.16666666666666666,0.1,0.43181818181818177,0.74,0.24113475177304963,0.3292134831460674,0.0
0.6,1.0,0.7317073170731707,0.6574712643678161,0.5098039215686275,0.4797979797979798,0.5,0.0,0.012658227848101266,0.2,0.5148514851485149,0.4947916666666667,0.5,0.3333333333333333,0.4675324675324675,0.48039215686274517,0.7,0.5925925925925926,0.5520833333333334,0.618705035971223,0.1792452830188679,0.39999999999999997,0.2,0.5681818181818181,0.74,0.49645390070921985,0.79438202247191,0.0
0.6,0.7317073170731707,0.0,0.21149425287356322,0.13725490196078433,0.20202020202020202,0.4,0.0,0.0,0.0,0.1386138613861386,0.203125,0.4,0.26666666666666666,0.06493506493506493,0.08823529411764706,0.5,0.12962962962962962,0.09375,0.11510791366906475,0.03773584905660378,0.13333333333333333,0.0,0.15909090909090906,0.18,0.12056737588652482,0.4247191011235955,0.0
0.6571428571428571,0.926829268292683,0.7560975609756098,0.6712643678160919,0.3823529411764706,0.3686868686868687,0.5,0.0,0.0,0.0,0.38613861386138615,0.3802083333333333,0.5,0.3333333333333333,0.2727272727272727,0.29411764705882354,0.7,0.5,0.6145833333333334,0.618705035971223,0.2641509433962264,0.2333333333333333,0.54,0.5227272727272726,0.74,0.3546099290780142,0.5752808988764045,0.0
0.7142857142857143,0.9512195121951219,0.10975609756097561,0.32873563218390806,0.18627450980392157,0.19696969696969696,0.5,0.0,0.012658227848101266,0.0,0.18811881188118812,0.203125,0.5,0.3333333333333333,0.14285714285714288,0.15686274509803924,0.7,0.18518518518518517,0.25,0.23741007194244604,0.12264150943396228,0.13333333333333333,0.04,0.2954545454545454,0.44000000000000006,0.17375886524822698,0.4247191011235955,0.0
0.6857142857142857,1.0,0.3170731707317073,0.44367816091954027,0.25490196078431376,0.2878787878787879,0.5,0.0,0.012658227848101266,0.0,0.25742574257425743,0.2916666666666667,0.5,0.3333333333333333,0.1818181818181818,0.2058823529411765,0.7,0.3333333333333333,0.17708333333333334,0.2517985611510791,0.1792452830188679,0.2333333333333333,0.02,0.3181818181818181,0.52,0.23404255319148937,0.301123595505618,0.0
0.6285714285714286,0.573170731707317,0.0,0.2045977011494253,0.14705882352941177,0.20202020202020202,0.4,0.0,0.0,0.0,0.1485148514851485,0.20833333333333334,0.4,0.26666666666666666,0.14285714285714288,0.15686274509803924,0.7,0.037037037037037035,0.04166666666666667,0.043165467625899276,0.03773584905660378,0.13333333333333333,0.02,0.15909090909090906,0.32,0.14893617021276598,0.301123595505618,0.0
0.6571428571428571,0.9146341463414634,0.5,0.4942528735632184,0.28431372549019607,0.2676767676767677,0.5,0.0,0.0,0.0,0.2871287128712871,0.2760416666666667,0.5,0.3333333333333333,0.16883116883116883,0.17647058823529413,0.7,0.31481481481481477,0.36458333333333337,0.37410071942446044,0.0660377358490566,0.16666666666666666,0.08,0.25,0.44000000000000006,0.25177304964539005,0.4247191011235955,0.0
0.6285714285714286,0.6829268292682927,0.0,0.2574712643678161,0.22549019607843138,0.23737373737373738,0.5,0.0,0.0,0.0,0.2277227722772277,0.24479166666666669,0.5,0.3333333333333333,0.12987012987012986,0.11764705882352941,0.8,0.12962962962962962,0.09375,0.11510791366906475,0.03773584905660378,0.16666666666666666,0.02,0.2727272727272727,0.38,0.19858156028368792,0.6303370786516854,0.0
0.7142857142857143,0.4634146341463415,0.0,0.10804597701149425,0.06862745098039216,0.09090909090909091,0.4,0.0,0.012658227848101266,0.0,0.0693069306930693,0.08854166666666667,0.4,0.26666666666666666,0.05194805194805195,0.03921568627450981,0.9,0.037037037037037035,0.03125,0.043165467625899276,0.0660377358490566,0.03333333333333333,0.0,0.11363636363636363,0.12,0.06382978723404256,0.8629213483146068,0.0
0.6571428571428571,0.7560975609756098,0.18292682926829268,0.44367816091954027,0.3137254901960785,0.30303030303030304,0.5,0.0,0.012658227848101266,0.3,0.31683168316831684,0.3125,0.5,0.3333333333333333,0.2077922077922078,0.2058823529411765,0.8,0.24074074074074073,0.2604166666666667,0.26618705035971224,0.12264150943396228,0.16666666666666666,0.26,0.3863636363636363,0.7,0.28368794326241137,0.46629213483146065,0.0
