,fg,fga,fg_percent,x3p,x3pa,x3p_percent,x2p,x2pa,x2p_percent,e_fg_percent,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,playoffs
0,122.91875,248.31875,0.30744375,32.240625,82.746875,0.231121875,88.0125,184.21875,0.292878125,0.26124375,53.14375,72.11562500000001,26.75,100.409375,129.253125,79.19375000000001,32.10625,15.421875,51.18125,63.13125,374.859375,True
1,85.22727272727273,194.40454545454543,0.3015613636363636,18.963636363636365,58.0159090909091,0.2074636363636363,64.26363636363637,139.71818181818182,0.2826886363636363,0.2499409090909091,34.43181818181818,49.72954545454545,24.231818181818184,73.74318181818181,100.2568181818182,52.26818181818182,21.422727272727272,8.620454545454546,37.35227272727273,55.01590909090908,267.4522727272727,True
2,101.87894736842104,216.8,0.2933763157894736,18.98157894736842,56.9,0.1592131578947368,81.10526315789474,177.03684210526316,0.2741710526315789,0.2328052631578947,46.58947368421053,66.5842105263158,29.08421052631579,86.67894736842106,117.43947368421053,56.98947368421054,20.83157894736842,12.70526315789474,43.42631578947368,58.53684210526316,301.24210526315784,True
3,129.4714285714286,295.3428571428572,0.2875178571428571,29.785714285714285,83.9,0.1976642857142857,93.88571428571429,213.29285714285717,0.2662321428571428,0.2385571428571428,65.66428571428571,92.51785714285714,40.646428571428565,124.04285714285716,168.29285714285714,68.32142857142857,25.135714285714283,21.778571428571432,57.38214285714286,73.50357142857142,419.88571428571424,True
4,107.79411764705884,252.8235294117647,0.2888735294117647,19.08529411764706,60.670588235294126,0.2222911764705882,83.25882352941177,199.1764705882353,0.2617294117647059,0.2426,51.84705882352941,73.6735294117647,30.03235294117647,104.59411764705884,136.66176470588235,57.48235294117647,20.24117647058824,18.17058823529412,40.976470588235294,61.73235294117647,323.9852941176471,False
5,88.685,200.04,0.293745,27.245,74.2625,0.1598875,61.85,129.44,0.27153,0.245075,42.535,60.865,26.49,78.79,107.6775,46.855,21.085,10.760000000000002,41.525,51.545,300.1575,True
6,101.59473684210526,225.02631578947367,0.3150710526315789,23.968421052631577,68.73421052631579,0.1784447368421053,72.53684210526316,152.0578947368421,0.2915315789473684,0.2550526315789473,42.51578947368421,61.731578947368426,27.26052631578948,84.96842105263158,114.2842105263158,60.32631578947369,24.70526315789473,12.623684210526315,39.96315789473684,58.78947368421053,322.9947368421052,True
7,92.38,212.13,0.3014325,22.25,68.11500000000001,0.1947575,70.38,157.565,0.2712475,0.25359,44.24,65.91,31.72,83.4925,117.3075,56.52,22.035,12.53,42.5375,66.0175,295.72,False
8,93.56,211.35,0.275775,23.075,67.0025,0.1977525,69.31,156.245,0.26934,0.234525,39.645,61.2875,34.347500000000004,84.0275,120.325,55.34,21.185,13.507500000000002,38.4325,54.29,287.5075,False
9,138.55333333333334,291.28,0.34961,39.17,97.62666666666668,0.1546433333333333,96.33333333333331,201.64,0.3212933333333333,0.27532,54.22666666666667,74.5,34.53666666666666,116.98666666666668,154.19,85.9,35.46,21.82,57.626666666666665,76.40666666666667,428.6166666666667,True
10,83.85499999999999,199.845,0.291915,31.1475,89.11749999999999,0.1985125,56.620000000000005,117.14,0.2852325,0.2492,40.855,64.8725,27.317500000000003,78.6125,108.59250000000002,45.82000000000001,26.7,12.655,49.4025,61.61,300.2575,True
11,119.6125,256.26875,0.30425625,25.73125,73.0,0.207265625,90.7,204.0875,0.2811,0.2539375,55.18125,77.01875,34.528125,112.9,149.540625,65.99375,22.225,16.459375,50.246875,76.51875,357.4625,False
12,98.245,211.705,0.27849,28.0425,74.29249999999999,0.2356625,69.15,141.16,0.25657,0.24963,43.61,68.1575,25.8275,86.96000000000001,114.255,62.09000000000001,22.375,13.9875,36.072500000000005,59.9825,311.45500000000004,True
13,104.7,235.4333333333333,0.2859166666666666,20.177777777777777,58.5,0.1778055555555555,82.65555555555555,190.5,0.2525166666666666,0.2326222222222222,48.833333333333336,70.38888888888889,32.99166666666667,93.20833333333331,128.67222222222222,56.37222222222223,22.522222222222226,13.358333333333334,43.16666666666666,67.49722222222222,318.97222222222223,False
14,100.9421052631579,213.35789473684213,0.3149763157894736,15.394736842105264,45.189473684210526,0.1765973684210526,82.97894736842105,182.09473684210528,0.2867947368421052,0.2484947368421052,47.23157894736842,65.88684210526316,26.389473684210525,88.75,117.5578947368421,52.72631578947369,25.49473684210526,12.510526315789477,42.578947368421055,57.22105263157895,301.5921052631579,True
15,82.5,178.1047619047619,0.2983428571428571,16.121428571428574,48.385714285714286,0.2260523809523809,63.37142857142857,135.45238095238096,0.2742047619047619,0.2541285714285714,42.695238095238096,61.60952380952381,21.123809523809523,73.89761904761906,96.6809523809524,46.74761904761905,21.79047619047619,12.290476190476191,40.34761904761905,53.44047619047619,263.0880952380952,False
16,94.6,209.325,0.314295,18.0275,49.7175,0.1450475,71.64,161.4,0.289455,0.251635,41.05,57.282500000000006,27.365,77.4975,106.8975,57.79,27.745,13.4525,49.2,62.86,286.1875,True
17,69.444,159.92,0.302286,10.82,32.288000000000004,0.165962,56.528,130.08,0.275628,0.238996,39.032,54.096,22.9,59.35,83.918,42.148,18.3,9.008,34.442,43.292,227.698,False
18,88.13809523809525,192.8857142857143,0.2677785714285714,18.357142857142858,49.23333333333333,0.1665880952380952,68.54285714285714,150.45238095238096,0.2435833333333333,0.2250571428571428,36.29523809523809,54.40714285714286,28.469047619047625,80.08333333333333,110.4309523809524,47.07142857142857,17.79047619047619,15.816666666666668,37.67142857142857,50.4952380952381,274.1285714285714,True
