fg,fga,fg_percent,x3p,x3pa,x3p_percent,x2p,x2pa,x2p_percent,e_fg_percent,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,teamChemistry,playoffs
149.9,342.2,0.288177273,0.781818182,4.436363636,0.101504545,135.6,315.1545455,0.250995455,0.222681818,93.61818182,130.4045455,49.64090909,99.60454545,154.9772727,98.41818182,45.17272727,15.5,88.02727273,112.3454545,491.0272727,230,TRUE
189.61,365.83,0.31959,10.365,26.57,0.23846,173.14,379.01,0.28056,0.25144,90.98,124.22,54.53,131.38,190.3,114.38,48.98,15.03,92.455,116.52,552.48,170,TRUE
151.98,344,0.30033,4.78,18.605,0.117325,132.28,303.34,0.266915,0.24065,86.34,114.235,38.69,94.23,137.86,102.7,43.57,16.695,98.95,111.42,488.905,118,FALSE
145.4642857,332.5285714,0.290421429,1.778571429,9.032142857,0.121542857,134.6428571,300.7857143,0.257525,0.230392857,69.82142857,97.99642857,49.94642857,101.6321429,157.0642857,88.97142857,38.68571429,14.93571429,71.41785714,93.63571429,471.4464286,210,FALSE
150.6,313.1923077,0.310880769,4.065384615,12.41538462,0.20695,140.3384615,312.8307692,0.274484615,0.237430769,83.71538462,124.3153846,51.29230769,110.8846154,166.7884615,81.4,35.69230769,15.25769231,82.58076923,90.63461538,470.2615385,212,FALSE
136.3285714,284.6357143,0.328928571,2.628571429,9.910714286,0.109364286,127.2714286,279.7714286,0.291682143,0.249285714,62.52142857,93.33214286,46.98214286,103.1678571,154.4892857,65.65,35.48571429,24.08928571,83.57142857,94.68214286,414.55,266,FALSE
184.3181818,371.3727273,0.324054545,1.681818182,7.422727273,0.098190909,171.8909091,373.1272727,0.286290909,0.246381818,76.28181818,110.1136364,58.94090909,135.7272727,199.1318182,104.8636364,48.60909091,19.75909091,94.03181818,122.8272727,533.1545455,112,FALSE
200.14,396.99,0.30888,6.425,23.445,0.173955,184.3,397.01,0.273685,0.24192,104.77,147.3,78.755,123.05,206.61,120.55,52.54,20.49,104.58,116.815,601.125,210,TRUE
175,374.0727273,0.298636364,5.781818182,19.87727273,0.145768182,162.2545455,357.3090909,0.265068182,0.235609091,88.62727273,127.2954545,60.06818182,112.3409091,178.6909091,93.62727273,52.4,23.17727273,94.09545455,107.7272727,552.4227273,158,FALSE
166.55,359.95,0.3184,1.425,6.3375,0.140616667,150.4333333,339.8416667,0.281816667,0.239858333,81.80833333,116.525,52.05833333,118.4625,175.3916667,98.84166667,47.00833333,17.79166667,82.59166667,114.4791667,509.075,160,TRUE
