Model,min,max,median,mean,sd,Model,min,max,median,mean,sd
rpartCost,0.654234725062886,0.654234725062886,0.654234725062886,NA,0,JRip,0.612344177561569,0.612344177561569,0.612344177561569,NA,0
C5.0Rules,0.658693490373087,0.658693490373087,0.658693490373087,NA,0,C5.0Rules,0.613678736139731,0.613678736139731,0.613678736139731,NA,0
LMT,0.659802877494887,0.659802877494887,0.659802877494887,NA,0,ctree2,0.615222996848439,0.615222996848439,0.615222996848439,NA,0
PRIM,0.662167994922068,0.662167994922068,0.662167994922068,NA,0,rpart2,0.616097511836406,0.616097511836406,0.616097511836406,NA,0
knn,0.66257846110445,0.66257846110445,0.66257846110445,NA,0,rpart,0.617503243189302,0.617503243189302,0.617503243189302,NA,0
CSimca,0.66411477067024,0.66411477067024,0.66411477067024,NA,0,rpartScore,0.617503243189302,0.617503243189302,0.617503243189302,NA,0
JRip,0.664929355619813,0.664929355619813,0.664929355619813,NA,0,LMT,0.618217054263566,0.618217054263566,0.618217054263566,NA,0
rpart,0.665872123092837,0.665872123092837,0.665872123092837,NA,0,knn,0.618295911363859,0.618295911363859,0.618295911363859,NA,0
rpartScore,0.665872123092837,0.665872123092837,0.665872123092837,NA,0,LogitBoost,0.624427332098645,0.624427332098645,0.624427332098645,NA,0
LogitBoost,0.666669605284811,0.666669605284811,0.666669605284811,NA,0,ownn,0.627310673822302,0.627310673822302,0.627310673822302,NA,0
rpart2,0.666774984131462,0.666774984131462,0.666774984131462,NA,0,rpart1SE,0.628181008020596,0.628181008020596,0.628181008020596,NA,0
ctree,0.667939734819099,0.667939734819099,0.667939734819099,NA,0,ctree,0.630501339456563,0.630501339456563,0.630501339456563,NA,0
QdaCov,0.671191139478572,0.671191139478572,0.671191139478572,NA,0,evtree,0.631694425052359,0.631694425052359,0.631694425052359,NA,0
rpart1SE,0.673436126196018,0.673436126196018,0.673436126196018,NA,0,RFlda,0.635746167281195,0.635746167281195,0.635746167281195,NA,0
ownn,0.673475444906787,0.673475444906787,0.673475444906787,NA,0,BstLm,0.636482368306487,0.636482368306487,0.636482368306487,NA,0
RFlda,0.675718433363895,0.675718433363895,0.675718433363895,NA,0,PRIM,0.636867447987644,0.636867447987644,0.636867447987644,NA,0
evtree,0.678027011777982,0.678027011777982,0.678027011777982,NA,0,kernelpls,0.644120384734719,0.644120384734719,0.644120384734719,NA,0
pda2,0.680891929379129,0.680891929379129,0.680891929379129,NA,0,simpls,0.644120384734719,0.644120384734719,0.644120384734719,NA,0
hdda,0.684160436796201,0.684160436796201,0.684160436796201,NA,0,widekernelpls,0.644120384734719,0.644120384734719,0.644120384734719,NA,0
rFerns,0.687481427933329,0.687481427933329,0.687481427933329,NA,0,blackboost,0.64544168182737,0.64544168182737,0.64544168182737,NA,0
qda,0.689208982767943,0.689208982767943,0.689208982767943,NA,0,treebag,0.65441906653426,0.65441906653426,0.65441906653426,NA,0
blackboost,0.692593800691163,0.692593800691163,0.692593800691163,NA,0,rpartCost,0.660164922296226,0.660164922296226,0.660164922296226,NA,0
kernelpls,0.69599342924983,0.69599342924983,0.69599342924983,NA,0,msaenet,0.660666666666667,0.660666666666667,0.660666666666667,NA,0
simpls,0.69599342924983,0.69599342924983,0.69599342924983,NA,0,plsRglm,0.661044176706827,0.661044176706827,0.661044176706827,NA,0
widekernelpls,0.69599342924983,0.69599342924983,0.69599342924983,NA,0,bstTree,0.661840946884476,0.661840946884476,0.661840946884476,NA,0
treebag,0.696879128758493,0.696879128758493,0.696879128758493,NA,0,glmboost,0.662541839943199,0.662541839943199,0.662541839943199,NA,0
bstTree,0.700488633425018,0.700488633425018,0.700488633425018,NA,0,ordinalNet,0.663488444398383,0.663488444398383,0.663488444398383,NA,0
plsRglm,0.704694266168277,0.704694266168277,0.704694266168277,NA,0,C5.0,0.66659987978361,0.66659987978361,0.66659987978361,NA,0
glmboost,0.707854749982368,0.707854749982368,0.707854749982368,NA,0,C5.0Cost,0.66659987978361,0.66659987978361,0.66659987978361,NA,0
C5.0,0.709073218609681,0.709073218609681,0.709073218609681,NA,0,hdda,0.668586387434555,0.668586387434555,0.668586387434555,NA,0
C5.0Cost,0.709073218609681,0.709073218609681,0.709073218609681,NA,0,rFerns,0.669201520912547,0.669201520912547,0.669201520912547,NA,0
ordinalNet,0.712536262547899,0.712536262547899,0.712536262547899,NA,0,gamboost,0.669622602598474,0.669622602598474,0.669622602598474,NA,0
rotationForestCp,0.714294614100665,0.714294614100665,0.714294614100665,NA,0,rotationForest,0.670165688998662,0.670165688998662,0.670165688998662,NA,0
RRFglobal,0.716182676258316,0.716182676258316,0.716182676258316,NA,0,qda,0.673028101199335,0.673028101199335,0.673028101199335,NA,0
