Model,min,max,median,mean,sd,Model,min,max,median,mean,sd,Model,min,max,median,mean,sd
simpls,0.063,0.082,0.073,0.074,0.005,glmboost,0.029,0.034,0.032,0.032,0.001,ctree,0.306,0.562,0.426,0.419,0.066
glmboost,0.063,0.083,0.074,0.074,0.005,bridge,0.031,0.037,0.034,0.034,0.002,kernelpls,0.296,0.412,0.352,0.354,0.029
penalized,0.063,0.083,0.074,0.074,0.006,blassoAveraged,0.031,0.037,0.034,0.034,0.002,simpls,0.296,0.412,0.352,0.354,0.029
leapSeq,0.068,0.084,0.078,0.077,0.005,glmnet,0.031,0.037,0.034,0.034,0.002,plsRglm,0.296,0.465,0.379,0.382,0.04
kknn,0.059,0.085,0.071,0.073,0.008,nnls,0.032,0.037,0.034,0.034,0.001,ctree2,0.296,0.566,0.408,0.415,0.074
rpart2,0.061,0.085,0.076,0.074,0.008,leapSeq,0.028,0.038,0.035,0.034,0.003,penalized,0.295,0.42,0.353,0.354,0.03
BstLm,0.065,0.085,0.077,0.077,0.006,plsRglm,0.03,0.038,0.034,0.034,0.002,svmLinear3,0.292,0.394,0.346,0.348,0.031
leapForward,0.068,0.085,0.076,0.076,0.005,leapForward,0.031,0.038,0.035,0.035,0.002,rlm,0.29,0.407,0.337,0.345,0.035
leapBackward,0.064,0.086,0.077,0.076,0.005,lars,0.031,0.038,0.034,0.034,0.002,glmboost,0.282,0.428,0.355,0.35,0.034
svmLinear3,0.067,0.087,0.078,0.078,0.005,lasso,0.031,0.038,0.034,0.034,0.002,xgbLinear,0.269,0.575,0.443,0.443,0.086
icr,0.067,0.088,0.08,0.08,0.006,spls,0.031,0.038,0.034,0.034,0.002,bagEarthGCV,0.25,0.592,0.445,0.436,0.082
pcr,0.067,0.088,0.08,0.079,0.006,spikeslab,0.031,0.038,0.034,0.034,0.002,BstLm,0.245,0.38,0.318,0.317,0.033
xgbLinear,0.058,0.089,0.071,0.072,0.008,enet,0.031,0.038,0.034,0.034,0.002,rpart2,0.245,0.52,0.355,0.372,0.078
superpc,0.068,0.089,0.081,0.08,0.006,lars2,0.031,0.038,0.034,0.034,0.002,leapForward,0.242,0.409,0.3,0.306,0.044
