Model,min,max,median,mean,sd,Model,min,max,median,mean,sd
glmnet,0.769691293919838,0.769691293919838,0.769691293919838,NA,0,plr,0.779825412221145,0.779825412221145,0.779825412221145,NA,0
dwdLinear,0.770461410709723,0.770461410709723,0.770461410709723,NA,0,dwdLinear,0.781431334622824,0.781431334622824,0.781431334622824,NA,0
lda,0.770995598743911,0.770995598743911,0.770995598743911,NA,0,lda,0.78180938558297,0.78180938558297,0.78180938558297,NA,0
lda2,0.770995598743911,0.770995598743911,0.770995598743911,NA,0,lda2,0.78180938558297,0.78180938558297,0.78180938558297,NA,0
rda,0.770995598743911,0.770995598743911,0.770995598743911,NA,0,rda,0.78180938558297,0.78180938558297,0.78180938558297,NA,0
spls,0.771477758821057,0.771477758821057,0.771477758821057,NA,0,vglmCumulative,0.781947261663286,0.781947261663286,0.781947261663286,NA,0
pda,0.771529786778099,0.771529786778099,0.771529786778099,NA,0,pda,0.782187802516941,0.782187802516941,0.782187802516941,NA,0
sparseLDA,0.771529786778099,0.771529786778099,0.771529786778099,NA,0,sparseLDA,0.782187802516941,0.782187802516941,0.782187802516941,NA,0
vglmCumulative,0.772334342415069,0.772334342415069,0.772334342415069,NA,0,spls,0.782398452611219,0.782398452611219,0.782398452611219,NA,0
vglmContRatio,0.772691916194809,0.772691916194809,0.772691916194809,NA,0,vglmContRatio,0.789995280792827,0.789995280792827,0.789995280792827,NA,0
