Model,Accuracy,Sensitivity,Specificity,Precision,Recall,F1,Baccuracy
rotationForest,0.744186046511628,0.73191899710704,0.676282051282051,0.714689265536723,0.73191899710704,0.723201524535493,0.704100524194545
rotationForest,0.740740740740741,0.73191899710704,0.676282051282051,0.714689265536723,0.73191899710704,0.723201524535493,0.704100524194545
rotationForest,0.65,0.73191899710704,0.676282051282051,0.714689265536723,0.73191899710704,0.723201524535493,0.704100524194545
rotationForest,0.7,0.73191899710704,0.676282051282051,0.714689265536723,0.73191899710704,0.723201524535493,0.704100524194545
rotationForest,0.7375,0.73191899710704,0.676282051282051,0.714689265536723,0.73191899710704,0.723201524535493,0.704100524194545
rotationForest,0.670731707317073,0.73191899710704,0.676282051282051,0.714689265536723,0.73191899710704,0.723201524535493,0.704100524194545
rotationForest,0.759493670886076,0.73191899710704,0.676282051282051,0.714689265536723,0.73191899710704,0.723201524535493,0.704100524194545
rotationForest,0.65,0.73191899710704,0.676282051282051,0.714689265536723,0.73191899710704,0.723201524535493,0.704100524194545
rotationForest,0.716049382716049,0.73191899710704,0.676282051282051,0.714689265536723,0.73191899710704,0.723201524535493,0.704100524194545
rotationForest,0.797297297297297,0.73191899710704,0.676282051282051,0.714689265536723,0.73191899710704,0.723201524535493,0.704100524194545
rotationForest,0.62962962962963,0.73191899710704,0.676282051282051,0.714689265536723,0.73191899710704,0.723201524535493,0.704100524194545
rotationForest,0.67948717948718,0.73191899710704,0.676282051282051,0.714689265536723,0.73191899710704,0.723201524535493,0.704100524194545
rotationForest,0.688311688311688,0.73191899710704,0.676282051282051,0.714689265536723,0.73191899710704,0.723201524535493,0.704100524194545
rotationForest,0.743243243243243,0.73191899710704,0.676282051282051,0.714689265536723,0.73191899710704,0.723201524535493,0.704100524194545
rotationForest,0.702702702702703,0.73191899710704,0.676282051282051,0.714689265536723,0.73191899710704,0.723201524535493,0.704100524194545
rotationForest,0.666666666666667,0.73191899710704,0.676282051282051,0.714689265536723,0.73191899710704,0.723201524535493,0.704100524194545
rotationForest,0.7125,0.73191899710704,0.676282051282051,0.714689265536723,0.73191899710704,0.723201524535493,0.704100524194545
rotationForest,0.625,0.73191899710704,0.676282051282051,0.714689265536723,0.73191899710704,0.723201524535493,0.704100524194545
rotationForest,0.643835616438356,0.73191899710704,0.676282051282051,0.714689265536723,0.73191899710704,0.723201524535493,0.704100524194545
rotationForestCp,0.74390243902439,0.705882352941177,0.708333333333333,0.728358208955224,0.705882352941177,0.71694417238002,0.707107843137255
rotationForestCp,0.714285714285714,0.705882352941177,0.708333333333333,0.728358208955224,0.705882352941177,0.71694417238002,0.707107843137255
rotationForestCp,0.697674418604651,0.705882352941177,0.708333333333333,0.728358208955224,0.705882352941177,0.71694417238002,0.707107843137255
rotationForestCp,0.691358024691358,0.705882352941177,0.708333333333333,0.728358208955224,0.705882352941177,0.71694417238002,0.707107843137255
rotationForestCp,0.74390243902439,0.705882352941177,0.708333333333333,0.728358208955224,0.705882352941177,0.71694417238002,0.707107843137255
rotationForestCp,0.703703703703704,0.705882352941177,0.708333333333333,0.728358208955224,0.705882352941177,0.71694417238002,0.707107843137255
rotationForestCp,0.6875,0.705882352941177,0.708333333333333,0.728358208955224,0.705882352941177,0.71694417238002,0.707107843137255
rotationForestCp,0.6375,0.705882352941177,0.708333333333333,0.728358208955224,0.705882352941177,0.71694417238002,0.707107843137255
rotationForestCp,0.670731707317073,0.705882352941177,0.708333333333333,0.728358208955224,0.705882352941177,0.71694417238002,0.707107843137255
rotationForestCp,0.74025974025974,0.705882352941177,0.708333333333333,0.728358208955224,0.705882352941177,0.71694417238002,0.707107843137255
rotationForestCp,0.569620253164557,0.705882352941177,0.708333333333333,0.728358208955224,0.705882352941177,0.71694417238002,0.707107843137255
rotationForestCp,0.725,0.705882352941177,0.708333333333333,0.728358208955224,0.705882352941177,0.71694417238002,0.707107843137255
rotationForestCp,0.753086419753086,0.705882352941177,0.708333333333333,0.728358208955224,0.705882352941177,0.71694417238002,0.707107843137255
rotationForestCp,0.77027027027027,0.705882352941177,0.708333333333333,0.728358208955224,0.705882352941177,0.71694417238002,0.707107843137255
